t,ID_Tag,ID_Anchor,range
29.7,1,10,17.3549645363342
29.8,1,10,21.4170526596117
29.9,1,10,17.7680717940518
0,2,10,16.1647153264843
0.1,2,10,18.792581643501
0.2,2,10,18.8331665934985
0.3,2,10,18.6361960209637
0.4,2,10,16.4811499995168
0.5,2,10,18.5217641449403
0.6,2,10,18.4796897709389
0.7,2,10,18.1881914706641
0.8,2,10,16.349669011836
0.9,2,10,18.4181339039543
1,2,10,21.2313316378338
1.1,2,10,18.2646771696177
1.2,2,10,18.1272998237646
1.3,2,10,18.0536480078184
1.4,2,10,18.0971807052713
1.5,2,10,17.8070409439409
1.6,2,10,17.8364410381677
1.7,2,10,17.6130426218171
1.8,2,10,16.2827415086385
1.9,2,10,17.1590535136309
2,2,10,16.5113651816084
2.1,2,10,14.3248707749735
2.2,2,10,15.7449425025063
2.3,2,10,15.0568345317838
2.4,2,10,14.8542880661154
2.5,2,10,14.4839834537697
2.6,2,10,14.1621258550912
2.7,2,10,13.9015807871138
2.8,2,10,13.5492427936277
2.9,2,10,13.4286938982259
3,2,10,13.2637342104587
3.1,2,10,13.0737630758774
3.2,2,10,12.9270470501284
3.3,2,10,12.8576264635761
3.4,2,10,12.4951405304764
3.5,2,10,12.4768380102992
3.6,2,10,12.1115970432929
3.7,2,10,12.0096710156295
3.8,2,10,15.8548881390574
3.9,2,10,11.5081910369605
4,2,10,11.2839414020005
4.1,2,10,11.2977540323732
4.2,2,10,10.9042351944876
4.3,2,10,10.7524599870264
4.4,2,10,10.7473166787825
4.5,2,10,10.5020335776732
4.6,2,10,10.3646882553334
4.7,2,10,10.4884942527125
4.8,2,10,10.5885731676291
4.9,2,10,10.5657234334145
5,2,10,15.6018020631905
5.1,2,10,10.7756825405349
5.2,2,10,11.0144729041846
5.3,2,10,10.9447219393823
5.4,2,10,11.0561286676893
5.5,2,10,10.980250476157
5.6,2,10,11.1742126983732
5.7,2,10,11.1316007500329
5.8,2,10,11.1779804317445
5.9,2,10,11.2168929863203
6,2,10,11.0771644543225
6.1,2,10,11.0910904527886
6.2,2,10,16.0280451719333
6.3,2,10,11.103436318058
6.4,2,10,10.8966740004962
6.5,2,10,10.9469632051211
6.6,2,10,13.943222277333
6.7,2,10,11.0820774831902
6.8,2,10,10.9325454922272
6.9,2,10,11.0944953910122
7,2,10,11.0169628468994
7.1,2,10,11.0296284252457
7.2,2,10,11.0501862991675
7.3,2,10,11.1153864078227
7.4,2,10,11.1919325940766
7.5,2,10,11.3149669657872
7.6,2,10,11.3305649079683
7.7,2,10,11.5485343756957
7.8,2,10,11.8991910432791
7.9,2,10,12.8878458865154
8,2,10,12.0064737674098
8.1,2,10,12.130758517542
8.2,2,10,12.1807511359404
8.3,2,10,12.3079059255519
8.4,2,10,12.4491402842577
8.5,2,10,12.6954410281154
8.6,2,10,12.7045156332804
8.7,2,10,12.9179197155888
8.8,2,10,13.0106676045969
8.9,2,10,13.1639995496593
9,2,10,13.2958493878437
9.1,2,10,13.6112189579661
9.2,2,10,13.6024485078688
9.3,2,10,11.0011362429955
9.4,2,10,14.2790452338301
9.5,2,10,14.2708151949146
9.6,2,10,14.5677514095675
9.7,2,10,19.7374665662313
9.8,2,10,14.7832582990956
9.9,2,10,15.2031072066385
10,2,10,15.4160597667473
10.1,2,10,14.6339044096529
10.2,2,10,16.0552043770036
10.3,2,10,16.1820380812032
10.4,2,10,16.2608005624801
10.5,2,10,16.5374896181278
10.6,2,10,16.7813369950896
10.7,2,10,16.9533784181098
10.8,2,10,17.078912732399
10.9,2,10,17.0878009337214
11,2,10,17.393046745413
11.1,2,10,17.3041608959839
11.2,2,10,17.5780147783992
11.3,2,10,17.5340583515018
11.4,2,10,17.7433022820486
11.5,2,10,17.8438677511231
11.6,2,10,17.9941991015822
11.7,2,10,18.32375148121
11.8,2,10,18.4833395543689
11.9,2,10,18.8099980511135
12,2,10,20.9910169836606
12.1,2,10,19.2950195981936
12.2,2,10,19.6196605037455
12.3,2,10,19.5860879455316
12.4,2,10,20.0586492811504
12.5,2,10,20.2695980939241
12.6,2,10,20.7925251534249
12.7,2,10,21.1775251071551
12.8,2,10,21.4223611496461
12.9,2,10,21.7643941275703
13,2,10,20.0548121253338
13.1,2,10,18.4916254247803
13.2,2,10,22.7199598511882
13.3,2,10,22.8364026070555
13.4,2,10,23.1776548775664
13.5,2,10,22.9703870142396
13.6,2,10,23.151189887837
13.7,2,10,22.8485850309345
13.8,2,10,22.7298395562903
13.9,2,10,21.625394034009
14,2,10,22.4738326871004
14.1,2,10,22.7594987723108
14.2,2,10,22.4962271678422
14.3,2,10,22.3602929048982
14.4,2,10,22.3394261053421
14.5,2,10,22.3988529150923
14.6,2,10,22.5396549096527
14.7,2,10,22.5816443248639
14.8,2,10,19.9286303951943
14.9,2,10,23.2143002468783
15,2,10,23.6842290371126
15.1,2,10,23.8697502849706
15.2,2,10,24.2502438378816
15.3,2,10,24.5066240255954
15.4,2,10,22.698556422581
15.5,2,10,25.0478842936469
15.6,2,10,25.294915400775
15.7,2,10,25.5467595208137
15.8,2,10,25.7298378856979
15.9,2,10,21.8568303316572
16,2,10,25.9322201206522
16.1,2,10,30.059363047954
16.2,2,10,26.2263514542315
16.3,2,10,26.3961357657747
16.4,2,10,26.2623467095437
16.5,2,10,26.2267139740549
16.6,2,10,26.217203753156
16.7,2,10,26.0284413114271
16.8,2,10,25.9868506627045
16.9,2,10,25.8213546672831
17,2,10,25.6511687295906
17.1,2,10,25.7265266037917
17.2,2,10,25.7039977087485
17.3,2,10,25.7850190144729
17.4,2,10,26.074640641187
17.5,2,10,26.350720634505
17.6,2,10,26.4676322561215
17.7,2,10,26.493636209943
17.8,2,10,26.6380593032055
17.9,2,10,26.9027371196835
18,2,10,26.9724476454338
18.1,2,10,27.0992653299512
18.2,2,10,26.9112832452308
18.3,2,10,23.9345879425161
18.4,2,10,26.5063334435531
18.5,2,10,26.3108281569488
18.6,2,10,25.5866679469611
18.7,2,10,25.1022299583386
18.8,2,10,24.4432687716755
18.9,2,10,24.1250036512009
19,2,10,23.6474913834239
19.1,2,10,23.1874185340578
19.2,2,10,22.752680220476
19.3,2,10,22.7248940971205
19.4,2,10,21.4522119052488
19.5,2,10,22.5254786054077
19.6,2,10,22.7290698553471
19.7,2,10,23.034458436437
19.8,2,10,23.4093700395733
19.9,2,10,23.6867814408982
20,2,10,23.776487386259
20.1,2,10,24.1521894715687
20.2,2,10,23.4036193062228
20.3,2,10,24.7810405044274
20.4,2,10,24.5644872965923
20.5,2,10,24.438486403084
20.6,2,10,24.3228357468324
20.7,2,10,24.3177879055373
20.8,2,10,24.0095366845746
20.9,2,10,23.8228834897232
21,2,10,23.7814834786107
21.1,2,10,23.3660486648645
21.2,2,10,23.3419607945968
21.3,2,10,23.1262960716905
21.4,2,10,23.0582087520942
21.5,2,10,22.9385315002875
21.6,2,10,22.9860492357512
21.7,2,10,22.8093971960493
21.8,2,10,22.900533825736
21.9,2,10,22.9649055690569
22,2,10,22.9198840432392
22.1,2,10,27.7252767558593
22.2,2,10,22.9329555730546
22.3,2,10,22.5328410439808
22.4,2,10,22.6259610299576
22.5,2,10,22.3238529921596
22.6,2,10,22.0743171694962
22.7,2,10,21.7586400938212
22.8,2,10,21.9510331621136
22.9,2,10,21.6287490957643
23,2,10,21.7113868850204
23.1,2,10,21.3729238300884
23.2,2,10,21.1679993678451
23.3,2,10,20.991946700423
23.4,2,10,21.0337069193811
23.5,2,10,20.7984279428103
23.6,2,10,20.7058680830141
23.7,2,10,25.5752383076826
23.8,2,10,20.6720124666912
23.9,2,10,23.4420155641589
24,2,10,20.4556396074454
24.1,2,10,18.1752831383597
24.2,2,10,19.9716512862286
24.3,2,10,20.1557638684831
24.4,2,10,18.8069977577826
24.5,2,10,19.6641140906828
24.6,2,10,19.6573082223139
24.7,2,10,19.6581458680114
24.8,2,10,19.3926645136538
24.9,2,10,19.3640538917117
25,2,10,19.2334589980298
25.1,2,10,19.1627182449627
25.2,2,10,19.0097659062867
25.3,2,10,18.7906365797465
25.4,2,10,21.5556112808657
25.5,2,10,18.4740444187397
25.6,2,10,21.2400740884985
25.7,2,10,18.1687624594114
25.8,2,10,19.8866606458346
25.9,2,10,17.7978159835059
26,2,10,17.5699269717753
26.1,2,10,17.2726629538395
26.2,2,10,16.9592380059232
26.3,2,10,16.6806784106251
26.4,2,10,16.6562853136784
26.5,2,10,16.0441555204459
26.6,2,10,15.8815883589954
26.7,2,10,15.2898295529274
26.8,2,10,15.1315769323518
26.9,2,10,14.9374460417193
27,2,10,14.7040022244866
27.1,2,10,17.7381817907794
27.2,2,10,14.6558965598663
27.3,2,10,14.9875486400832
27.4,2,10,15.1905329421233
27.5,2,10,15.661003811458
27.6,2,10,15.8982577715375
27.7,2,10,16.3591990420877
27.8,2,10,16.8224224240385
27.9,2,10,16.8869462342051
28,2,10,17.6492849051553
28.1,2,10,17.6466331083209
28.2,2,10,17.9304270211075
28.3,2,10,16.9789127017045
28.4,2,10,20.289084367989
28.5,2,10,18.2333333962397
28.6,2,10,18.2990907614328
28.7,2,10,18.3402162395097
28.8,2,10,18.2614394596604
28.9,2,10,14.5015998678373
29,2,10,18.31904073337
29.1,2,10,18.2976815562968
29.2,2,10,18.438456119989
29.3,2,10,18.5393704133719
29.4,2,10,18.5437898570882
29.5,2,10,18.6195415650929
29.6,2,10,20.9243784760428
29.7,2,10,18.8886341768407
29.8,2,10,19.1069030056338
29.9,2,10,19.3947900373099
